,,,,,,,,,,
,Load Cell,LC-25,*LC-25*,201613963,Functioning,,AMTEC UPLB,,JJTM,
,Load Cell,LC-26,*LC-26*,201613965,Functioning,,AMTEC UPLB,,JJTM,
,Load Cell,LC-27,*LC-27*,201608843,Functioning,,AMTEC UPLB,,JJTM,
,Load Cell,LC-28,*LC-28*,201707515,Functioning,,AMTEC UPLB,,JJTM,
,Load Cell Junction Box,LCJB-01,*LCJB-01*,,Functioning,,AMTEC UPLB,,JJTM,
,Magnetic Detector,MD-01,*MD-01*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Magnetic Detector,MD-02,*MD-02*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Microcomputer,MCM-01,*MCM-01*,,Functioning,,AMTEC UPLB,,JJTM,
,Microcomputer,MCM-02,*MCM-02*,,Functioning,,AMTEC UPLB,,JJTM,
,Microcomputer,MCM-03,*MCM-03*,,Functioning,,AMTEC UPLB,,JJTM,
,Microcontroller,MC-01,*MC-01*,,Functioning,,AMTEC UPLB,,JJTM,
,Microcontroller,MC-02,*MC-02*,,Functioning,,AMTEC UPLB,,JJTM,
,Microcontroller,MC-03,*MC-03*,,Functioning,,AMTEC UPLB,,JJTM,
,Multimeter,MM-02,*MM-02*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Optical Detector,OD-01,*OD-01*,,For Repair,,AMTEC UPLB,,MECH LAB,
,Platform Scale,PS-01,*PS-01*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Platform Scale,PS-02,*PS-02*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Power Meter,PM-01,*PM-01*,,Functioning,,AMTEC UPLB,,MJBR,
,Pressure Gauge,PG-01,*PG-01*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-02,*PG-02*,,Functioning,,AMTEC UPLB,,MJBR,
,Pressure Gauge,PG-03,*PG-03*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-04,*PG-04*,,Functioning,,AMTEC UPLB,,MJBR,
,Pressure Gauge,PG-05,*PG-05*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-06,*PG-06*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-07,*PG-07*,,Functioning,,AMTEC UPLB,,MJBR,
,Pressure Gauge,PG-08,*PG-08*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-09,*PG-09*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-10,*PG-10*,8220810-4001,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-11,*PG-11*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-12,*PG-12*,8220810-4003,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-13,*PG-13*,S00710802001,Functioning,,AMTEC UPLB,,FJRA,
,Pressure Gauge,PG-14,*PG-14*,S00710802002,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-15,*PG-15*,S00710802003,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-16,*PG-16*,S00703301001,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-17,*PG-17*,S00703301005,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Gauge,PG-18,*PG-18*,S00703301008,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Transducer,PT-01,*PT-01*,528056,Functioning,,AMTEC UPLB,,JJTM,
,Pressure Transducer,PT-02,*PT-02*,,Functioning,,AMTEC UPLB,,JJTM,
,Pressure Transducer,PT-03,*PT-03*,20923038,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Transducer,PT-04,*PT-04*,20923039,Functioning,,AMTEC UPLB,,MECH LAB,
,Pressure Transducer,PT-05,*PT-05*,20923040,Functioning,,AMTEC UPLB,,MECH LAB,
,Rotary Encoder,RE-01,*RE-01*,,Functioning,,AMTEC UPLB,,JJTM,
,Rotary Encoder,RE-02,*RE-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Rotary Encoder,RE-03,*RE-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Rotary Encoder,RE-04,*RE-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Rotary Encoder,RE-05,*RE-05*,,Functioning,,AMTEC UPLB,,OFFICE,
,Rotary Encoder,RE-06,*RE-06*,,Functioning,,AMTEC UPLB,,OFFICE,
,Rotary Encoder,RE-07,*RE-07*,,Functioning,,AMTEC UPLB,,OFFICE,
,Rotary Encoder,RE-08,*RE-08*,,Functioning,,AMTEC UPLB,,OFFICE,
,Rotary Encoder,RE-09,*RE-09*,,Functioning,,AMTEC UPLB,,OFFICE,
,Rotary Encoder,RE-10,*RE-10*,,Functioning,,AMTEC UPLB,,OFFICE,
,Rotary Encoder,RE-11,*RE-11*,,Functioning,,AMTEC UPLB,,OFFICE,
,Signal Conditioner,SC-01,*SC-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Speed Proximity Sensor,SPS-01,*SPS-01*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Speed Proximity Sensor,SPS-02,*SPS-02*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Speed Proximity Sensor,SPS-03,*SPS-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Speed Proximity Sensor,SPS-04,*SPS-04*,,Functioning,,AMTEC UPLB,,JJTM,
,Speed Proximity Sensor,SPS-05,*SPS-05*,,Functioning,,AMTEC UPLB,,JJTM,
,Speed Proximity Sensor,SPS-06,*SPS-06*,,Functioning,,AMTEC Visayas,,FCP,
,Soldering Station,SS-01,*SS-01*,,Functioning,,AMTEC UPLB,,JJTM,
,Sound Level Meter,SLM-08,*SLM-08*,,For Repair,,AMTEC UPLB,,MECH LAB,
,Tachometer,,**,,Functioning,,AMTEC UPLB,,MECH LAB,
,Tachometer,TM-11,*TM-11*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Tachometer,,,,Functioning,,AMTEC UPLB,,MECH LAB,
,Test Weight,TW-01,*TW-01*,10025950,Functioning,,AMTEC UPLB,,MJBR,
,Test Weight,TW-02,*TW-02*,,Functioning,,AMTEC UPLB,,MJBR,
,Test Weight,TW-03,*TW-03*,,Functioning,,AMTEC UPLB,,MJBR,
,Thermometer,,,,Functioning,,AMTEC UPLB,,MECH LAB,
,Thermometer,,,,Functioning,,AMTEC UPLB,,MECH LAB,
,Thermometer,,,,Functioning,,AMTEC UPLB,,MECH LAB,
,Torque Transducer,TT-01,*TT-01*,JH7510003,Functioning,,AMTEC UPLB,,MECH LAB,
,Torque Transducer,TT-02,*TT-02*,JN9860004,Functioning,,AMTEC UPLB,,JJTM,
,Torque Transducer,TT-03,*TT-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Torque Transducer,TT-04,*TT-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Torque Transducer,TT-05,*TT-05*,,Functioning,,AMTEC UPLB,,MECH LAB,
,Torque Transducer,TT-06,*TT-06*,21170008,Functioning,,AMTEC UPLB,,MECH LAB,
,,,,,,,,,,
,FIELD INSTRUMENTS,,,,,,,,,
,Instrument,Instrument Code,,Serial Number,Status,Status Notes,Location,Location Notes,Issued to,
